sku;produto;marca;tipo_do_produto;preço_unitario;custo_unitario;cor
HL1;M510 Mouse sem fio;Logitech;Mouse;25.95;6.5;Vermelho
HL2;Mouse sem fio M170;Logitech;Mouse;19.95;5.0;Preto
HL3;Camisa Hashtag Eletro Masculina, P;Hashtag;Camisa;25.0;11.0;Branco
HL4;Camisa Hashtag Eletro Masculina, M;Hashtag;Camisa;25.0;11.0;Branco
HL5;Mouse sem fio D09;Multilaser;Mouse;11.99;3.4;Azul
HL6;Camisa Hashtag Eletro Masculina, G;Hashtag;Camisa;25.0;11.0;Branco
HL7;Camisa Hashtag Eletro Masculina, GG;Hashtag;Camisa;25.0;11.0;Branco
HL8;Camisa Hashtag Eletro Masculina, P;Hashtag;Camisa;27.5;12.4;Preto
HL9;Camisa Hashtag Eletro Masculina, M;Hashtag;Camisa;27.5;12.4;Preto
HL10;Camisa Hashtag Eletro Masculina, G;Hashtag;Camisa;27.5;12.4;Preto
HL11;Smart TV LG 65'' 4K UHD;LG;Televisão;820.0;172.2;Preto
HL12;Smart TV Led 32'' HD LG;LG;Televisão;250.0;62.5;Preto
HL13;Smart TV 43'' LG;LG;Televisão;378.0;83.2;Preto
HL14;Smart TV 50'' LG 4K;LG;Televisão;520.0;145.6;Preto
HL15;Smart TV 65'' QLED 4K Samsung;Samsung;Televisão;1260.0;378.0;Preto
HL16;Smart TV Led 43'';Samsung;Televisão;340.0;71.4;Preto
HL17;Samsung TV Smart 65'';Samsung;Televisão;740.0;214.6;Preto
HL18;Smart TV QLED 85'' 8K;Samsung;Televisão;10000.0;3000.0;Preto
HL19;Smart TV 60'' Samsung;Samsung;Televisão;720.0;201.6;Preto
HL20;Samsung Smart TV QLED 4k The Sero Tela Vertical;Samsung;Televisão;2000.0;440.0;Preto
HL21;Smart TV LED 32'' HD AOC;AOC;Televisão;250.0;62.5;Preto
HL22;Smart TV LED 43'' Ful HD AOC;AOC;Televisão;360.0;97.2;Preto
HL23;Smart TV Toshiba UDF 4K 55'';Toshiba;Televisão;640.0;185.6;Preto
HL24;Tela Toshiba QLED 65'' Quantum dot 4K;Toshiba;Televisão;800.0;192.0;Preto
HL25;Tela Toshiba QLED 55'' Quantum dot 4K;Toshiba;Televisão;600.0;144.0;Preto
HL26;Smart TV LED 50'' Ful HD Semp;SEMP;Televisão;500.0;125.0;Preto
HL27;Smart TV LED 43'' Ful HD Semp;SEMP;Televisão;380.0;91.2;Preto
HL28;Smart TV LED 50'' Ful HD Semp;SEMP;Televisão;500.0;140.0;Preto
HL29;Smart Google TV 50'' LED Philco Sem Borda;Philco;Televisão;400.0;120.0;Preto
HL30;TV LED 39'' Philco;Philco;Televisão;279.8;56.0;Preto
HL31;TCL Smart TV Roku 32'' Série 3;TCL;Televisão;158.0;36.3;Preto
HL32;TCL 40'' Classe 3 - Series HD LED;TCL;Televisão;220.0;59.4;Preto
HL33;Garmin Smartwatch Forerunner 245;Garmin;Relógio;440.0;96.8;Prata
HL34;Garmin Smartwatch Forerunner 945;Garmin;Relógio;720.0;187.2;Prata
HL35;Xiaomi Mibro Air;Xiaomi;Relógio;46.4;11.6;Prata
HL36;Xiaomi Maimo;Xiaomi;Relógio;74.0;15.5;Prata
HL37;Smartwatch B57;Xiaomi;Relógio;36.0;7.9;Preto
HL38;Smartwatch Xiaomi Amazfit Verge Lite;Xiaomi;Relógio;114.0;23.9;Preto
HL39;Samsung Galaxy Watch3 41m;Samsung;Relógio;280.0;72.8;Preto
HL40;Samsung Galaxy Watch3 46mm;Samsung;Relógio;290.0;72.5;Preto
HL41;Samsung SM-R89;Samsung;Relógio;380.0;110.2;Preto
HL42;Samsung Galaxy Watch4 Classic BT 46mm;Samsung;Relógio;320.0;83.2;Prata
HL43;iPhone 13 Pro Max 128GB;Apple;Celular;1099.0;329.7;Preto
HL44;iPhone 13 Pro Max 256GB;Apple;Celular;1199.0;287.8;Branco
HL45;iPhone 13 Pro Max 512GB;Apple;Celular;1399.0;377.7;Vermelho
HL46;iPhone 13 Pro Max 1TB;Apple;Celular;1599.0;367.8;Vermelho
HL47;iPhone 13 Pro 128GB;Apple;Celular;999.0;269.7;Vermelho
HL48;iPhone 13 Pro 256GB;Apple;Celular;1099.0;329.7;Vermelho
HL49;iPhone 13 Pro 512GB;Apple;Celular;1299.0;298.8;Vermelho
HL50;iPhone 13 Pro 1TB;Apple;Celular;1499.0;329.8;Vermelho
HL51;iPhone 13 128GB;Apple;Celular;799.0;215.7;Vermelho
HL52;iPhone 13 256GB;Apple;Celular;899.0;197.8;Vermelho
HL53;iPhone 13 512GB;Apple;Celular;1099.0;329.7;Vermelho
HL54;iPhone 13 Mini 128GB;Apple;Celular;699.0;167.8;Vermelho
HL55;iPhone 13 Mini 256GB;Apple;Celular;799.0;215.7;Vermelho
HL56;iPhone 13 Mini 512GB;Apple;Celular;999.0;269.7;Vermelho
HL57;iPhone SE 64GB;Apple;Celular;429.0;115.8;Vermelho
HL58;iPhone SE 128GB;Apple;Celular;479.0;138.9;Vermelho
HL59;iPhone SE 256GB;Apple;Celular;579.0;115.8;Preto
HL60;iPhone 12 Pro Max 128GB;Apple;Celular;949.0;256.2;Preto
HL61;iPhone 12 Pro Max 256GB;Apple;Celular;1049.0;304.2;Preto
HL62;iPhone 12 Pro Max 512GB;Apple;Celular;1249.0;362.2;Preto
HL63;iPhone 12 Pro Max 1TB;Apple;Celular;1449.0;347.8;Preto
HL64;iPhone 12 Pro 128GB;Apple;Celular;849.0;178.3;Preto
HL65;iPhone 12 Pro 256GB;Apple;Celular;949.0;256.2;Prata
HL66;iPhone 12 Pro 512GB;Apple;Celular;1149.0;252.8;Prata
HL67;iPhone 12 Pro 1TB;Apple;Celular;1349.0;296.8;Prata
HL68;iPhone 12 128GB;Apple;Celular;649.0;181.7;Prata
HL69;iPhone 12 256GB;Apple;Celular;749.0;157.3;Preto
HL70;iPhone 12 512GB;Apple;Celular;949.0;256.2;Preto
HL71;iPhone 12 Mini 128GB;Apple;Celular;549.0;115.3;Preto
HL72;iPhone 12 Mini 256GB;Apple;Celular;649.0;181.7;Preto
HL73;iPhone 12 Mini 512GB;Apple;Celular;849.0;178.3;Prata
HL74;iPhone 11 Pro 128GB;Apple;Celular;599.0;137.8;Prata
HL75;iPhone 11 Pro 256GB;Apple;Celular;699.0;181.7;Prata
HL76;iPhone 11 128GB;Apple;Celular;549.0;120.8;Preto
HL77;iPhone 11 256GB;Apple;Celular;649.0;142.8;Preto
HL78;iPhone XS 64GB;Apple;Celular;449.0;103.3;Preto
HL79;iPhone XS 128GB;Apple;Celular;499.0;129.7;Preto
HL80;iPhone XS Max 128GB;Apple;Celular;499.0;124.8;Preto
HL81;iPhone XS Max 256GB;Apple;Celular;549.0;142.7;Preto
HL82;Galaxy S22 Ultra 128GB;Samsung;Celular;200.0;48.0;Preto
HL83;Inspiron 3000 8GB RAM;Dell;Notebook;448.0;134.4;Vermelho
HL84;Inspiron 3000 16GB RAM;Dell;Notebook;512.0;107.5;Vermelho
HL85;Chromebook S330 14';Lenovo;Notebook;188.61;41.5;Vermelho
HL86;Chromebook Spin 311;Acer;Notebook;227.0;65.8;Vermelho
HL87;Chromebook 14';HP;Notebook;214.0;49.2;Preto
HL88;Microsoft Surface Pro 7 12.3';Microsoft;Notebook;429.0;90.1;Preto
HL89;HP Pavilion 17.3';HP;Notebook;799.0;199.8;Preto
HL90;HP 14 Laptop;HP;Notebook;239.88;64.8;Preto
HL91;Lenovo IdeaPad 3 Gamer;Lenovo;Notebook;989.99;217.8;Amarelo
HL92;HP 15 Laptop;HP;Notebook;529.0;111.1;Amarelo
HL93;Samsung 15.6' Galaxy Book2 Pro;Samsung;Notebook;1349.99;270.0;Amarelo
HL94;HP Pavilion 15.6';HP;Notebook;359.0;100.5;Amarelo
HL95;Asus VivoBook 15;Asus;Notebook;629.99;189.0;Amarelo
HL96;Smartwatch Iwo8 44mm;Samsung;Relógio;50.0;14.5;Branco
HL97;Smartwatch Iwo9 44mm;Samsung;Relógio;60.0;15.6;Branco
HL98;Apple Watch Series 7 GPS 41mm;Apple;Relógio;789.0;228.8;Preto
HL99;Galaxy S22 Ultra 256GB;Samsung;Celular;300.0;66.0;Azul
HL100;Galaxy S22 Ultra 512GB;Samsung;Celular;400.0;96.0;Azul
HL101;Galaxy S22 128GB;Samsung;Celular;100.0;28.0;Preto
HL102;Galaxy S22 512GB;Samsung;Celular;150.0;31.5;Preto
HL103;Galaxy S21 128GB;Samsung;Celular;200.0;56.0;Preto
HL104;Galaxy S21 256GB;Samsung;Celular;270.0;81.0;Preto
HL105;Galaxy Z Flip3 128GB;Samsung;Celular;100.0;27.0;Preto
HL106;Galaxy Z Fold3 256GB;Samsung;Celular;800.0;176.0;Preto
HL107;Galaxy Z Fold3 512GB;Samsung;Celular;900.0;198.0;Preto
HL108;Galaxy A12 64GB;Samsung;Celular;120.0;31.2;Preto
HL109;Galaxy A13 64GB;Samsung;Celular;150.0;26.97;Preto
HL110;Galaxy A13 128GB;Samsung;Celular;200.0;92.81;Preto
HL111;Mi 11 Lite Dual 64GB;Xiaomi;Celular;257.0;74.5;Preto
HL112;Mi 11 Lite Dual 128GB;Xiaomi;Celular;317.0;133.3;Preto
HL113;Redmi Note 10S 64GB;Xiaomi;Celular;159.0;42.9;Preto
HL114;Redmi Note 10S 128GB;Xiaomi;Celular;219.0;56.9;Preto
HL115;Redmi 9A 32GB;Xiaomi;Celular;249.0;96.8;Preto
HL116;Redmi 9A 64GB;Xiaomi;Celular;329.0;75.7;Amarelo
HL117;Pocophone X3 NFC 64GB;Xiaomi;Celular;299.0;38.96;Preto
HL118;Redmi Note 8 Pro 64GB;Xiaomi;Celular;249.0;104.8;Preto
HL119;Poco M4 Pro 128GB;Xiaomi;Celular;250.0;145.28;Preto
HL120;Redmi Note 11 128GB;Xiaomi;Celular;279.0;49.98;Preto
HL121;Redmi Note 11 256GB;Xiaomi;Celular;350.0;122.27;Preto
HL122;Moto G Power 32GB;Motorola;Celular;69.0;18.6;Preto
HL123;Moto G Power 64GB;Motorola;Celular;99.0;25.7;Preto
HL124;Lenovo IdeaPad 15.6';Lenovo;Notebook;749.0;224.7;Preto
HL125;Inspiron 3510 15.6';Dell;Notebook;498.0;109.6;Preto
HL126;Asus VivoBook Pro 16X;Asus;Notebook;1599.0;415.7;Preto
HL127;HP 17.3';HP;Notebook;599.0;131.8;Amarelo
HL128;Acer Aspire Vero AV15-51;Acer;Notebook;529.99;143.1;Amarelo
HL129;Acer Porsche Design;Acer;Notebook;2199.0;483.8;Amarelo
HL130;Notebook Acer 2 em 1 Spin 3;Acer;Notebook;1299.0;285.8;Amarelo
HL131;Dell Vostro 14 3000;Dell;Notebook;600.0;132.0;Prata
HL132;Dell Inspiron I15 3501;Dell;Notebook;740.0;170.2;Prata
HL133;Notebook G8 HP;HP;Notebook;750.0;210.0;Preto
HL134;Lenovo 2 em 1 IdeaPad Flex 5i;Lenovo;Notebook;999.0;259.7;Cinza
HL135;Camisa Hashtag Eletro Masculina, GG;Hashtag;Camisa;27.5;12.4;Preto
HL136;Teclado sem fio Logitech MX;Logitech;Teclado;138.0;37.3;Cinza
HL137;Teclado com SmartCard Reader Dell;Dell;Teclado;36.0;8.3;Branco
HL138;Teclado sem fio Logitech K380;Logitech;Teclado;44.0;11.0;Cinza
HL139;Teclado sem fio Dell Pro KM522;Dell;Teclado;48.0;11.5;Preto
HL140;Monitor Curvado NBV 24'' 75Hz;LG;Monitor;129.0;34.8;Branco
HL141;Monitor T350 Series 27'' 75Hz;Samsung;Monitor;159.99;41.6;Branco
HL142;Monitor 40WP95C 40'';LG;Monitor;1796.99;467.2;Preto
HL143;Camisa Hashtag Eletro Feminina, P;Hashtag;Camisa;25.0;11.0;Branco
HL144;Camisa Hashtag Eletro Feminina, M;Hashtag;Camisa;25.0;11.0;Branco
HL145;Camisa Hashtag Eletro Feminina, G;Hashtag;Camisa;25.0;11.0;Branco
HL146;Camisa Hashtag Eletro Feminina, GG;Hashtag;Camisa;25.0;11.0;Branco
HL147;Camisa Hashtag Eletro Feminina, P;Hashtag;Camisa;27.0;12.4;Preto
HL148;Camisa Hashtag Eletro Feminina, M;Hashtag;Camisa;27.0;12.4;Preto
HL149;Camisa Hashtag Eletro Feminina, G;Hashtag;Camisa;27.0;12.4;Preto
HL150;Camisa Hashtag Eletro Feminina, GG;Hashtag;Camisa;27.0;12.4;Preto
HL151;Camisa Hashtag Eletro Bebê - Amarela;Hashtag;Camisa;9.9;4.5;Amarelo
HL152;Casaco Hashtag Eletro Masculino, P;Hashtag;Casaco;45.9;19.7;Branco
HL153;Casaco Hashtag Eletro Masculino, M;Hashtag;Casaco;45.9;19.7;Branco
HL154;Casaco Hashtag Eletro Masculino, G;Hashtag;Casaco;45.9;19.7;Branco
HL155;Casaco Hashtag Eletro Masculino, GG;Hashtag;Casaco;45.9;19.7;Branco
HL156;Casaco Hashtag Eletro Masculino, P;Hashtag;Casaco;48.9;20.0;Preto
HL157;Casaco Hashtag Eletro Masculino, M;Hashtag;Casaco;48.9;20.0;Preto
HL158;Casaco Hashtag Eletro Masculino, G;Hashtag;Casaco;48.9;20.0;Preto
HL159;Casaco Hashtag Eletro Masculino, GG;Hashtag;Casaco;48.9;20.0;Preto
HL160;Casaco Hashtag Eletro Feminino, P;Hashtag;Casaco;45.9;19.7;Branco
HL161;Casaco Hashtag Eletro Feminino, M;Hashtag;Casaco;45.9;19.7;Branco
HL162;Casaco Hashtag Eletro Feminino, G;Hashtag;Casaco;45.9;19.7;Branco
HL163;Casaco Hashtag Eletro Feminino, GG;Hashtag;Casaco;45.9;19.7;Branco
HL164;Mouse sem fio MO251 2.4 Ghz;Multilaser;Mouse;4.99;1.2;Preto
HL165;Mouse Óptico USB 1200dpi;Multilaser;Mouse;3.99;1.3;Preto
HL166;Mouse M90 1000dpi;Logitech;Mouse;6.99;2.3;Preto
HL167;Teclado sem fio V320;LG;Teclado;110.0;29.7;Preto
HL168;Casaco Hashtag Eletro Feminino, P;Hashtag;Casaco;48.9;20.0;Preto
HL169;Casaco Hashtag Eletro Feminino, M;Hashtag;Casaco;48.9;20.0;Preto
HL170;Monitor Curvado UG27 27'' 144Hz;Spectre;Monitor;229.99;59.8;Preto
HL171;Monitor de LED Profissional Fino 24'' 75 Hz;Spectre;Monitor;132.72;38.5;Preto
HL172;Mouse com fio USB M90;Spectre;Mouse;7.99;2.0;Preto
HL173;Teclado LG C400;LG;Teclado;20.0;4.6;Vermelho
HL174;Monitor de jogos Nano IPS 34GN850-B 34'';LG;Monitor;789.99;221.2;Prata
HL175;Casaco Hashtag Eletro Feminino, G;Hashtag;Casaco;48.9;20.0;Preto
HL176;Casaco Hashtag Eletro Feminino, GG;Hashtag;Casaco;48.9;20.0;Preto
HL177;Casaco Hashtag Eletro Bebê;Hashtag;Casaco;12.9;6.1;Amarelo
HL178;Casaco Hashtag Eletro Bebê;Hashtag;Casaco;12.9;6.1;Branco
HL179;Acer Aspire 5 A515;Acer;Notebook;799.0;159.8;Prata
HL180;Notebook Multilaser Legacy Book;Multilaser;Notebook;199.0;41.8;Amarelo
HL181;HP 250-G8;HP;Notebook;949.0;237.3;Cinza
HL182;Macbook Air 13.3' M1;Apple;Notebook;1499.0;419.7;Prata
HL183;Macbook Pro 13' M1;Apple;Notebook;2549.0;688.2;Prata
HL184;Macbook Pro 16';Apple;Notebook;6400.0;1280.0;Prata
HL185;Macbook Pro 14' M1;Apple;Notebook;2499.0;599.8;Prata
HL186;Macbook Pro Touchbar 13';Apple;Notebook;1299.0;337.7;Prata
HL187;Macbook Pro M1 Max;Apple;Notebook;5999.0;1679.7;Prata
HL188;TCL 75'' Classe 4 Series;TCL;Televisão;1200.0;240.0;Prata
HL189;Vizio Smart TV 720p 32'';Vizio;Televisão;159.0;36.6;Azul
HL190;Vizio M55q8 M-Series Quantum 55';Vizio;Televisão;440.0;110.0;Azul
HL191;Vizio D-Series D32F4 32'' Class Full HD;Vizio;Televisão;240.0;69.6;Azul
HL192;Insignia NS 42'';Insignia;Televisão;250.0;65.0;Azul
HL193;Insignia 50'' Class F30 Series;Insignia;Televisão;343.0;82.3;Amarelo
HL194;Insignia 32'' Class LED HD Smart Fire TV;Insignia;Televisão;189.99;45.6;Amarelo
HL195;LG 80 Series 50'' Alexa Integrada;LG;Televisão;390.0;93.6;Amarelo
HL196;LG NanoCell 80 Series 50'' 4K;LG;Televisão;550.0;148.5;Amarelo
HL197;Sony X85J 85'';Sony;Televisão;1200.0;240.0;Azul
HL198;Smart TV 75'' LED 4K HDR;Sony;Televisão;3300.0;726.0;Prata
HL199;Sony KDL TV LED 48'' Smart TV;Sony;Televisão;600.0;138.0;Prata
HL200;Sony 50'' X80 HDR 4K;Sony;Televisão;599.0;131.8;Prata
HL201;Apple Watch Nike Series 7 GPS 45mm;Apple;Relógio;1080.0;280.8;Prata
HL202;Apple Watch Series 6 GPS 40mm;Apple;Relógio;700.0;182.0;Preto
HL203;Apple Watch Series 6 44mm;Apple;Relógio;640.0;179.2;Azul
HL204;Apple Watch Series 5 42mm;Apple;Relógio;500.0;110.0;Branco
HL205;Apple Watch SE GPS 44mm;Apple;Relógio;480.0;120.0;Vermelho
HL206;Apple Watch SE GPS 40mm;Apple;Relógio;440.0;118.8;Azul
HL207;Apple Watch Nike SE GPS 40mm;Apple;Relógio;320.0;92.8;Preto
HL208;Smartwatch Garmin Fenix 6S Sapphire 6S;Garmin;Relógio;920.0;239.2;Branco
HL209;Smartwatch Garmin Fenix 6 Pro;Garmin;Relógio;800.0;160.0;Preto
HL210;Galaxy Watch Active;Samsung;Relógio;240.0;55.2;Vermelho
HL211;Câmera Digital EOS T7;Canon;Câmera;589.0;176.7;Preto
HL212;Câmera Digital EOS 4000D;Canon;Câmera;509.0;112.0;Preto
HL213;Câmera Digital SX420;Canon;Câmera;489.0;107.6;Preto
HL214;Câmera Digital EOS 800D;Canon;Câmera;899.0;260.7;Preto
HL215;Mouse sem fio M185;Logitech;Mouse;15.99;5.1;Preto
HL216;Teclado LG X130;LG;Teclado;10.0;2.5;Branco
HL217;Monitor Gamer 24'' FHD 75HZ;Samsung;Monitor;199.99;52.0;Branco
HL218;Câmera DSLR D7500;Nikon;Câmera;1396.0;349.0;Preto
HL219;Câmera SLR Digital D850 FX;Nikon;Câmera;2796.95;643.3;Preto
HL220;Câmera SLR D5600 DX;Nikon;Câmera;796.95;239.1;Preto
HL221;Câmera Z6 FX;Nikon;Câmera;2196.95;527.3;Preto
HL222;Mouse sem fio WM126;Dell;Mouse;19.99;5.8;Preto
HL223;Multilaser Teclado sem fio 2.4Ghz;Multilaser;Teclado;21.99;4.4;Cinza
HL224;Monitor AOC 21.5'';Samsung;Monitor;129.99;45.5;Preto
HL225;Mouse USB MS 111P;Dell;Mouse;14.99;4.6;Preto
HL226;Teclado Multilaser com fio USB Teclas Silenciosas;Multilaser;Teclado;8.99;1.8;Preto
HL227;"Monitor LED 24"" wide Gamer 75Hz T350";Samsung;Monitor;179.99;46.8;Preto
HL228;Mouse Bluetooth MS 570;Dell;Mouse;28.99;8.7;Preto
HL229;Câmera Z 6II FX;Nikon;Câmera;2596.95;811.1;Preto
HL230;Câmera A7 III;Sony;Câmera;2198.0;461.6;Prata/Preto
HL231;Câmera Alpha A7 IIK;Sony;Câmera;1598.0;479.4;Preto
HL232;Câmera Compacta Premium RX100 VII;Sony;Câmera;1298.0;298.5;Prata/Preto
HL233;Câmera Cyber Shot RX10 IV;Sony;Câmera;1698.0;441.5;Prata/Preto
HL234;Câmera Digital RX100VA;Sony;Câmera;998.0;299.4;Prata/Preto
HL235;Câmera Alpha 7R IV;Sony;Câmera;3498.0;874.5;Prata/Preto
HL236;Cabo USB Lightning 0,5m;Apple;Acessórios;19.0;3.8;Prata
HL237;Cabo USB Lightning 1m;Apple;Acessórios;22.0;4.4;Preto
HL238;Cabo USB Lightning 2m;Apple;Acessórios;29.0;5.8;Prata
HL239;Carregador de Parede USB;Apple;Acessórios;19.0;3.8;Prata
HL240;Carregador de Parede USB C;Apple;Acessórios;29.0;5.8;Branco
HL241;Carregador Micro USB 0,5m;Samsung;Acessórios;19.99;6.5;Branco
HL242;Carregador Micro USB 1m;Samsung;Acessórios;24.99;8.2;Branco
HL243;Carregador Micro USB 2m;Samsung;Acessórios;29.99;8.9;Preto
HL244;Carregador de Parede USB;Samsung;Acessórios;8.9;2.4;Preto
HL245;Carregador de Parede USB C;Samsung;Acessórios;14.9;3.2;Branco
HL246;Carregador de Parede USB 3 Portas;Samsung;Acessórios;12.5;2.8;Prata
HL247;Macrbook Pro 16.2' M1 Max;Apple;Notebook;5099.0;1070.8;Azul
HL248;Dell Gamer G11-i1000;Dell;Notebook;5099.0;1478.7;Amarelo
HL249;Notebook Gamer Acer Aspire Nitro 5;Acer;Notebook;1249.0;374.7;Amarelo
HL250;Dell Vostro 14 4000;Dell;Notebook;549.0;137.3;Amarelo
HL251;Notebook Samsung Book;Samsung;Notebook;399.0;103.7;Amarelo
HL252;Lenovo Ideapad S145 Celeron;Lenovo;Notebook;349.0;101.2;Azul
HL253;Notebook Samsung Essentials E20;Samsung;Notebook;549.0;115.3;Azul
HL254;Lenovo Ideapad D330;Lenovo;Notebook;299.0;65.8;Azul
HL255;Microsoft Surface Laptop Go;Microsoft;Notebook;999.0;239.8;Amarelo
HL256;Microsoft Surface Book 2;Microsoft;Notebook;2199.0;637.7;Amarelo
HL257;Microsoft Surface Book 2;Microsoft;Notebook;1999.0;419.8;Amarelo
HL258;Microsoft Surface 3;Microsoft;Notebook;3600.0;972.0;Amarelo
HL259;Notebook 2 em 1 Lenovo;Lenovo;Notebook;999.0;269.7;Amarelo
HL260;Acer Aspire 3;Acer;Notebook;700.0;154.0;Azul
HL261;Compaq Presario;Compaq;Notebook;380.0;114.0;Azul
HL262;Positivo Motion Q464C;Positivo;Notebook;349.0;104.7;Azul
HL263;Positivo Motion Plus;Positivo;Notebook;320.0;80.0;Azul
HL264;Notebook Vaio FE14;Vaio;Notebook;319.0;86.1;Azul
HL265;HP Spectre X360;HP;Notebook;4999.0;999.8;Azul
HL266;Notebook Asus ROG Zephyrus G15;Asus;Notebook;1999.0;539.7;Azul
HL267;Moto E7 32GB;Motorola;Celular;100.0;24.0;Amarelo
HL268;Moto E7 64GB;Motorola;Celular;150.0;45.0;Amarelo
HL269;Moto G7 32GB;Motorola;Celular;89.0;26.7;Amarelo
HL270;Moto G7 64GB;Motorola;Celular;119.0;29.8;Amarelo
HL271;Moto G Pure 32GB;Motorola;Celular;69.0;17.3;Prata
HL272;Moto G Pure 64GB;Motorola;Celular;99.0;28.7;Azul
HL273;Moto G Stylus 32GB;Motorola;Celular;199.0;39.8;Azul
HL274;Notebook Asus ROG Zephyrus Duo 15;Asus;Notebook;6999.0;1399.8;Prata
HL275;Asus Chromebook Flip CX5;Asus;Notebook;700.0;161.0;Prata
HL276;LG Gram 17;LG;Notebook;1393.0;334.3;Prata
HL277;HP Envy X360 13;HP;Notebook;820.0;164.0;Prata
HL278;Notebook Dell 2 em 1 XPS;HP;Notebook;1600.0;368.0;Prata
HL279;Notebook Dell XPS 13;Dell;Notebook;1220.0;244.0;Prata
HL280;Lenovo Thinkpad X1 Nano;Lenovo;Notebook;1487.0;386.6;Prata
HL281;Lenovo Chromebook Duet;Lenovo;Notebook;249.0;49.8;Prata
HL282;Razer Blade 15;Razer;Notebook;3999.0;1079.7;Prata
HL283;Razer Book 15;Razer;Notebook;1199.0;299.8;Preto
HL284;Razer Blade 14;Razer;Notebook;1999.0;439.8;Preto
HL285;Razer 17 Blade Pro 4k;Razer;Notebook;7999.0;2159.7;Preto
HL286;Lenovo Yoga 9I;Lenovo;Notebook;1750.0;455.0;Preto
HL287;Dell XPS 9300;Dell;Notebook;1600.0;352.0;Preto
HL288;Carregador Sem Fio;Apple;Acessórios;39.99;11.9;Branco
HL289;Cabo USB C iPhone;Apple;Acessórios;19.0;3.8;Branco
HL290;Cabo USB C Android;Samsung;Acessórios;9.55;2.1;Preto
HL291;Moto G Stylus 64GB;Motorola;Celular;279.0;72.5;Cinza
HL292;Moto G20 32GB;Motorola;Celular;150.0;33.0;Cinza
HL293;Moto G20 32GB;Motorola;Celular;229.0;55.0;Cinza
